,Unnamed: 0,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
0,0.0,0.0,0.0,1.0,15.5,0.0
1,1.0,1.0,44.0,0.9999857925298181,15.5,0.0
2,2.0,2.0,88.0,0.9999663012887731,15.5409090983471,0.0
3,3.0,3.0,132.0,0.999946810047728,15.581818196694195,0.0
4,4.0,4.0,176.0,0.9999273188066831,15.622727295041296,0.0
5,5.0,5.0,220.0,0.9999078275656379,15.663636393388394,0.0
6,6.0,6.0,264.0,0.9998883363245928,15.704545491735493,0.0
7,7.0,7.0,308.0,0.9998688450835478,15.745454590082591,0.0
8,8.0,8.0,352.0,0.9998493538425027,15.78636368842969,0.0
9,9.0,9.0,396.0,0.9998298626014577,15.827272786776788,0.0
10,10.0,10.0,440.0,0.9998103713604126,15.868181885123889,0.0
11,11.0,11.0,484.0,0.9997908801193676,15.909090983470984,0.0
12,12.0,12.0,528.0,0.9997713888783225,15.950000081818084,0.0
13,13.0,13.0,572.0,0.9997518976372775,15.990909180165184,0.0
14,14.0,14.0,616.0,0.9997324063962324,16.03181827851228,0.0
15,15.0,15.0,660.0,0.9997129151551873,16.072727376859376,0.0
16,16.0,16.0,704.0,0.9996934239141423,16.113636475206473,0.0
17,17.0,17.0,748.0,0.9996739326730972,16.15454557355357,0.0
18,18.0,18.0,792.0,0.9996544414320522,16.195454671900666,0.0
19,19.0,19.0,836.0,0.9996349501910071,16.236363770247763,0.0
20,20.0,20.0,880.0,0.9996154589499621,16.27727286859486,0.0
21,21.0,21.0,924.0,0.999595967708917,16.318181966941957,0.0
22,22.0,22.0,968.0,0.999576476467872,16.359091065289054,0.0
23,23.0,23.0,1012.0,0.9995569852268268,16.40000016363615,0.0
24,24.0,24.0,1056.0,0.9995374939857817,16.440909261983247,0.0
25,25.0,25.0,1100.0,0.9995180027447365,16.481818360330344,0.0
26,26.0,26.0,1144.0,0.9994985115036914,16.52272745867744,0.0
27,27.0,27.0,1188.0,0.9994790202626462,16.563636557024537,0.0
28,28.0,28.0,1232.0,0.9994595290216012,16.604545655371634,0.0
29,29.0,29.0,1276.0,0.9994400377805559,16.64545475371873,0.0
30,30.0,30.0,1320.0,0.9994205465395108,16.686363852065828,0.0
31,31.0,31.0,1364.0,0.9994010552984656,16.727272950412925,0.0
32,32.0,32.0,1408.0,0.9993815640574204,16.76818204876002,0.0
33,33.0,33.0,1452.0,0.9993620728163753,16.809091147107118,0.0
34,34.0,34.0,1496.0,0.9993425815753301,16.850000245454215,0.0
35,35.0,35.0,1540.0,0.999323090334285,16.89090934380131,0.0
36,36.0,36.0,1584.0,0.9993035990932398,16.93181844214841,0.0
37,37.0,36.66666000000987,1613.3330400004345,0.9992853212916214,17.0,0.0
38,38.0,37.66666000000987,1657.3330400004345,0.9992711138214393,17.0,0.0
39,39.0,38.66666000000987,1701.3330400004345,0.9992569063512572,17.0,0.0
40,40.0,39.66666000000987,1745.3330400004345,0.9992426988810753,17.0,0.0
41,41.0,40.66666000000987,1789.3330400004345,0.9992284914108932,17.0,0.0
42,42.0,41.66666000000987,1833.3330400004345,0.9992142839407112,17.0,0.0
43,43.0,42.66666000000987,1877.3330400004345,0.9992000764705293,17.0,0.0
44,44.0,43.66666000000987,1921.3330400004345,0.9991858690003472,17.0,0.0
45,45.0,44.66666000000987,1965.3330400004345,0.9991716615301653,17.0,0.0
46,46.0,45.66666000000987,2009.3330400004345,0.9991574540599832,17.0,0.0
47,47.0,46.66666000000987,2053.3330400004343,0.9991432465898012,17.0,0.0
48,48.0,47.66666000000987,2097.3330400004343,0.9991290391196194,17.0,0.0
49,49.0,48.66666000000987,2141.3330400004343,0.9991148316494373,17.0,0.0
50,50.0,49.66666000000987,2185.3330400004343,0.9991006241792553,17.0,0.0
51,51.0,50.66666000000987,2229.3330400004343,0.9990864167090734,17.0,0.0
52,52.0,51.66666000000987,2273.3330400004343,0.9990722092388913,17.0,0.0
53,53.0,52.66666000000987,2317.3330400004343,0.9990580017687092,17.0,0.0
54,54.0,53.66666000000987,2361.3330400004343,0.9990437942985273,17.0,0.0
55,55.0,54.66666000000987,2405.3330400004343,0.9990295868283453,17.0,0.0
56,56.0,55.66666000000987,2449.3330400004343,0.9990153793581634,17.0,0.0
57,57.0,56.66666000000987,2493.3330400004343,0.9990011718879813,17.0,0.0
58,58.0,57.66666000000987,2537.3330400004343,0.9989869644177993,17.0,0.0
59,59.0,58.66666000000987,2581.3330400004343,0.9989727569476174,17.0,0.0
60,60.0,59.66666000000987,2625.3330400004343,0.9989585494774353,17.0,0.0
61,61.0,60.66666000000987,2669.3330400004343,0.9989443420072533,17.0,0.0
62,62.0,61.66666000000987,2713.3330400004343,0.9989301345370715,17.0,0.0
63,63.0,62.66666000000987,2757.3330400004343,0.9989159270668894,17.0,0.0
64,64.0,63.66666000000987,2801.3330400004343,0.9989017195967073,17.0,0.0
65,65.0,64.66666000000987,2845.3330400004343,0.9988875121265254,17.0,0.0
66,66.0,65.66666000000987,2889.3330400004343,0.9988733046563434,17.0,0.0
67,67.0,66.66666000000987,2933.3330400004343,0.9988590971861615,17.0,0.0
68,68.0,67.66666000000987,2977.3330400004343,0.9988448897159794,17.0,0.0
69,69.0,68.66666000000987,3021.3330400004343,0.9988306822457974,17.0,0.0
70,70.0,69.66666000000987,3065.3330400004343,0.9988164747756155,17.0,0.0
