,Number of Cars,Empty Weight,Loaded Weight,Surplus(Foot-pound),Lowest SOC
0,10.0,526.0,1626.0,0.0,0.7608910914128987
1,11.0,559.0,1769.0,0.0,0.7458899621669801
2,12.0,592.0,1912.0,0.0,0.7308877755515426
3,13.0,625.0,2055.0,0.0,0.715882340016274
4,14.0,658.0,2198.0,0.0,0.7008769044809553
5,15.0,691.0,2341.0,0.0,0.6858714689456704
6,16.0,724.0,2484.0,0.0,0.6708660334102636
7,17.0,757.0,2627.0,0.0,0.655858696214711
8,18.0,790.0,2770.0,0.0,0.6408499279227546
9,19.0,823.0,2913.0,0.0,0.0
