,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
62,61.66666000000987,2713.3330400004343,0.0,17.0,0.0
63,62.66666000000987,2757.3330400004343,0.0,17.0,0.0
64,63.66666000000987,2801.3330400004343,0.0,17.0,0.0
65,64.66666000000987,2845.3330400004343,0.0,17.0,0.0
66,65.66666000000987,2889.3330400004343,0.0,17.0,0.0
67,66.66666000000987,2933.3330400004343,0.0,17.0,0.0
68,67.66666000000987,2977.3330400004343,0.0,17.0,0.0
69,68.66666000000987,3021.3330400004343,0.0,17.0,0.0
70,69.66666000000987,3065.3330400004343,0.0,17.0,0.0
71,70.66666000000987,3109.3330400004343,0.0,17.0,0.0
72,71.66666000000987,3153.3330400004343,0.0,17.0,0.0
73,72.66666000000987,3197.3330400004343,0.0,17.0,0.0
74,73.66666000000987,3241.3330400004343,0.0,17.0,0.0
75,74.66666000000987,3285.3330400004343,0.0,17.0,0.0
76,75.66666000000987,3329.3330400004343,0.0,17.0,0.0
77,76.66666000000987,3373.3330400004343,0.0,17.0,0.0
78,77.66666000000987,3417.3330400004343,0.0,17.0,0.0
79,78.66666000000987,3461.3330400004343,0.0,17.0,0.0
80,79.66666000000987,3505.3330400004343,0.0,17.0,0.0
81,80.66666000000987,3549.3330400004343,0.0,17.0,0.0
82,81.66666000000987,3593.3330400004343,0.0,17.0,0.0
83,82.66666000000987,3637.3330400004343,0.0,17.0,0.0
84,83.66666000000987,3681.3330400004343,0.0,17.0,0.0
85,84.66666000000987,3725.3330400004343,0.0,17.0,0.0
86,85.66666000000987,3769.3330400004343,0.0,17.0,0.0
87,86.66666000000987,3813.3330400004343,0.0,17.0,0.0
88,87.66666000000987,3857.3330400004343,0.0,17.0,0.0
89,88.66666000000987,3901.3330400004343,0.0,17.0,0.0
90,89.66666000000987,3945.3330400004343,0.0,17.0,0.0
91,90.66666000000987,3989.3330400004343,0.0,17.0,0.0
92,91.66666000000987,4033.3330400004343,0.0,17.0,0.0
93,92.66666000000987,4077.3330400004343,0.0,17.0,0.0
94,93.333324000007,4106.666256000308,0.0,17.0,0.0
95,94.333324000007,4150.666256000308,0.0,17.0,0.0
96,95.333324000007,4194.666256000308,0.0,16.957142869387734,0.0
97,96.333324000007,4238.666256000308,0.0,16.91428573877547,0.0
98,97.333324000007,4282.666256000308,0.0,16.871428608163203,0.0
99,98.333324000007,4326.666256000308,0.0,16.828571477550938,0.0
100,99.333324000007,4370.666256000308,0.0,16.785714346938672,0.0
